game/settings,Settings
messages/ending3/description,"The time of truce comes to an end. The villagers succeed in negotiating voluntary incorporation into the kingdom of Tharros. Most of the inhabitants are pardoned from minor crimes, become citizens of this expansive power. The area of village is taken over and adapted for mining."
messages/ending4/description,"The time of truce comes to an end. The inhabitants manage to negotiate a voluntary annexation to the merchant state of Salvante. The inhabitants are pardoned of any guilt, become citizens of this rich country and are given the opportunity to stay on familiar lands. The mining industry begins to expand in the village."
messages/ending5/description,"The time of truce is coming to an end. Thanks to the efforts of the inhabitants, a neutral territory has been established and they are allowed to stay on the lands they know on condition of a continuous supply of precious stones to both countries. The inhabitants can thus lead a peaceful, modest life. It is not clear, however, whether and for how long this state of affairs can be maintained."
messages/prologue/description,"After a long, bloody, and fruitless territorial war between the kingdom of Tharros and the merchant oligarchy of Salvante, a temporary truce is called. Lead the people - deserters, surviving citizens, exiles - ensure their survival in these disputed lands. Fertile and rich in various natural resources, these lands are also full of dangers, such as dangerous animals and plunderers looking for easy loot."
messages/fall/description,Every day it gets colder and colder...
messages/finale/description,It's time to resolve...
messages/spring/description,"Along the borders, troops are slowly gathering..."
messages/summer/description,It should be safe here for now...
messages/winter/description,A thin layer of snow covered the entire area...
resource/food,Food
resource/gems,Gems
resource/gold,Gold
resource/herbs,Herbs
resource/material,Material
resource/medicine,Medicine
resource/metal,Metal
resource/salvanteReputation,Salvante's esteem
resource/stone,Stone
resource/tharrosReputation,Tharros' esteem
resource/water,Water
resource/wood,Wood
game/help/description,"During each turn, assign villagers to appropriate tasks on the map. Some actions have attributes that will allow you to obtain more materials. 

You can see more details about characters and actions by hovering your mouse cursor over them. 

Keep an eye on emerging events on the panel on the right. They are crucial to survival. You can collapse them by clicking on their title bar.

Rebuild your village to gain additional actions or rewards. 

Increase esteem of countries to give your settlers a better fate after the truce ends.
 
Each villager is characterized by a set of stats, his health, his reputation, and:
<sprite index=1>  Strength
<sprite index=2>  Gathering
<sprite index=6>  Crafting
<sprite index=7>  Diplomacy
<sprite index=5>  Intelligence
 
Each point increases the number of resources harvested by 20% of the default value per point on actions of that type.  

Additionally, each diplomacy point gives a +6% bonus to the price of items sold and -6% to the price of items bought.

In addition to this, each point of intelligence causes another random stat to increase at the beginning of a new chapter.

Health represents the condition and fitness for work of a given villager. It influences the effective stats of the character. There are several levels of health:

Level 4: No modifiers.
Level 3: -1 point to all character stats.
Level 2 -2 points to all character stats.
Level 1: -4 points to all character stats.
Level 0: Causes the death of the villager.

You can increase a character's health using actions in the field hospital.

The villager's reputation affects his efficiency when interacting with a country.

To hide this information, press the Help button again."
